grid,label,time_ms,note
128,Serial,415.1,measured
128,Parallel-t1,394.9,measured
128,Parallel-t2,219.7,measured
128,Parallel-t4,152.5,measured
128,Parallel-t8,151.8,measured
128,Parallel-t16,142.5,measured
128,Local-Distributed-2w,286,estimated
128,AWS-Distributed-2w,439,estimated
256,Serial,1628.4,measured
256,Parallel-t1,1535.9,measured
256,Parallel-t2,838.5,measured
256,Parallel-t4,576.2,measured
256,Parallel-t8,499.8,measured
256,Parallel-t16,433.1,measured
256,Local-Distributed-2w,1090,estimated
256,AWS-Distributed-2w,1929,estimated
512,Serial,6318.0,measured
512,Parallel-t1,6098.5,measured
512,Parallel-t2,3300.4,measured
512,Parallel-t4,2195.3,measured
512,Parallel-t8,1687.8,measured
512,Parallel-t16,1543.2,measured
512,Local-Distributed-2w,4291,estimated
512,AWS-Distributed-2w,9901,estimated
